verdict	kind	module	line	owner	function	position	type	reason
INDEX	FIELD	arena.vl	26	struct Handle		index	i32	a slot position [field]
NOT	FIELD	arena.vl	27	struct Handle		generation	i32	a generation counter [field]
NOT	FIELD	arena.vl	36	struct Slot		generation	i32	a generation counter [field]
INDEX	FIELD	arena.vl	45	struct Arena		free	List<i32>	free slot positions [field]
NOT	FIELD	arena.vl	46	struct Arena		brand	i32	an arena identity [field]
INDEX	SIG	arena.vl	136	impl Arena<type T>	len	<ret>	i32	a length [override]
NOT	SIG	base64.vl	11		char_at	value	i32	an alphabet code [override]
NOT	SIG	base64.vl	43		digit	code	u32	a status / character code
NOT	SIG	base64.vl	43		digit	<ret>	i32	an alphabet code [override]
INDEX	FIELD	binary.vl	23	struct BinaryWriter		used	i32	bytes used of the buffer [field]
INDEX	SIG	binary.vl	32	impl BinaryWriter	ensure	extra	i32	a byte count of buffer capacity [override]
NOT	SIG	binary.vl	45	impl BinaryWriter	write_byte	value	i32	the byte written [override]
NOT	SIG	binary.vl	53	impl BinaryWriter	write_i32	value	i32	a protocol integer [override]
NOT	SIG	binary.vl	60	impl BinaryWriter	write_byte_u32	value	u32	an element value
NOT	SIG	binary.vl	66	impl BinaryWriter	write_u32	value	u32	an element value
WIRE	SIG	binary.vl	99	impl BinaryWriter with Serialize	begin_struct	fields	i32	the Serialize/Deserialize protocol seam (§6)
WIRE	SIG	binary.vl	105	impl BinaryWriter with Serialize	begin_list	length	i32	the Serialize/Deserialize protocol seam (§6)
WIRE	SIG	binary.vl	111	impl BinaryWriter with Serialize	begin_variant	arity	i32	the Serialize/Deserialize protocol seam (§6)
WIRE	SIG	binary.vl	129	impl BinaryWriter with Serialize	i32_value	value	i32	the Serialize/Deserialize protocol seam (§6)
WIRE	SIG	binary.vl	133	impl BinaryWriter with Serialize	u32_value	value	u32	the Serialize/Deserialize protocol seam (§6)
WIRE	SIG	binary.vl	140	impl BinaryWriter with Serialize	i53_value	value	i53	the Serialize/Deserialize protocol seam (§6)
INDEX	FIELD	binary.vl	162	struct BinaryReader		cursor	i32	a byte position in the frame [field]
INDEX	SIG	binary.vl	188	impl BinaryReader	expect	count	i32	a byte count into the frame buffer [override]
NOT	SIG	binary.vl	199	impl BinaryReader	read_byte	<ret>	i32	the byte read [override]
NOT	SIG	binary.vl	208	impl BinaryReader	read_i32	<ret>	i32	a protocol integer [override]
NOT	SIG	binary.vl	221	impl BinaryReader	read_u32	<ret>	u32	`read_u32` answers a value
INDEX	SIG	binary.vl	246	impl BinaryReader	read_length	<ret>	i32	a wire length read back as a count [override]
WIRE	SIG	binary.vl	284	impl BinaryReader with Deserialize	begin_list	<ret>	i32	the Serialize/Deserialize protocol seam (§6)
WIRE	SIG	binary.vl	294	impl BinaryReader with Deserialize	begin_variant	arity	i32	the Serialize/Deserialize protocol seam (§6)
WIRE	SIG	binary.vl	319	impl BinaryReader with Deserialize	i32_value	<ret>	i32	the Serialize/Deserialize protocol seam (§6)
WIRE	SIG	binary.vl	323	impl BinaryReader with Deserialize	u32_value	<ret>	u32	the Serialize/Deserialize protocol seam (§6)
WIRE	SIG	binary.vl	327	impl BinaryReader with Deserialize	i53_value	<ret>	i53	the Serialize/Deserialize protocol seam (§6)
NOT	SIG	dom.vl	537	impl Event	button	<ret>	i32	a mouse button code [override]
INDEX	SIG	storage.vl	86	impl Storage	len	<ret>	i32	a length [override]
INDEX	SIG	storage.vl	98	impl Storage	key_at	index	i32	a storage position [override]
INDEX	SIG	storage.vl	179	impl Storage	raw_key_at	index	i32	a storage position [override]
NOT	SIG	ui.vl	507		chunk_arm	<ret>	i32	a chunk arm id [override]
NOT	SIG	ui.vl	512		chunk_ready	arm	i32	a chunk arm id
NOT	SIG	ui.vl	518		chunk_load	arm	i32	a chunk arm id
NOT	SIG	ui.vl	524		chunk_preload_arm	arm	i32	a chunk arm id
INDEX	SIG	bytes.vl	15	impl Bytes	alloc	size	i32	a byte-length [override]
INDEX	SIG	bytes.vl	19	impl Bytes	len	<ret>	i32	`len` answers a position or a count
INDEX	SIG	bytes.vl	23	impl Bytes	get	index	i32	`index` is a position or a length
NOT	SIG	bytes.vl	23	impl Bytes	get	<ret>	i32	the byte read (I5 §2: a byte VALUE is not an index) [override]
INDEX	SIG	bytes.vl	28	impl Bytes	get_u32	index	i32	`index` is a position or a length
NOT	SIG	bytes.vl	28	impl Bytes	get_u32	<ret>	u32	`get_u32` answers a value
NOT	SIG	bytes.vl	46	impl Bytes	fill	value	i32	the byte written [override]
INDEX	SIG	bytes.vl	46	impl Bytes	fill	from	i32	`from` is a position or a length
INDEX	SIG	bytes.vl	46	impl Bytes	fill	to	i32	`to` is a position or a length
INDEX	SIG	bytes.vl	51	impl Bytes	copy_into	offset	i32	`offset` is a position or a length
INDEX	SIG	bytes.vl	55	impl Bytes	slice	from	i32	`from` is a position or a length
INDEX	SIG	bytes.vl	55	impl Bytes	slice	to	i32	`to` is a position or a length
INDEX	SIG	bytes.vl	58	impl Bytes	set	index	i32	`index` is a position or a length
NOT	SIG	bytes.vl	58	impl Bytes	set	value	i32	the byte written [override]
NOT	SIG	bytes.vl	65	impl Bytes	fill_u32	value	u32	an element value
INDEX	SIG	bytes.vl	65	impl Bytes	fill_u32	from	i32	`from` is a position or a length
INDEX	SIG	bytes.vl	65	impl Bytes	fill_u32	to	i32	`to` is a position or a length
INDEX	SIG	bytes.vl	67	impl Bytes	set_u32	index	i32	`index` is a position or a length
NOT	SIG	bytes.vl	67	impl Bytes	set_u32	value	u32	an element value
INDEX	SIG	bytes.vl	107	impl DataView	read_f64	offset	i32	a byte offset [override]
INDEX	SIG	bytes.vl	110	impl DataView	write_f64	offset	i32	a byte offset [override]
INDEX	SIG	compare.vl	113	impl List<type T: PartialEq>	index_of	<ret>	Option<i32>	a list position [override]
NOT	SIG	crypto.vl	20		pbkdf2_sha512	iterations	i32	a work factor
NOT	SIG	crypto.vl	20		pbkdf2_sha512	bits	i32	a key size in bits
INDEX	SIG	crypto.vl	42		random_bytes	length	i32	a byte-length [override]
NOT	FIELD	delta.vl	58	struct DeltaCursor		id	i32	a consumer identity [field]
SEQUENCE	FIELD	delta.vl	59	struct DeltaCursor		at	Shared<i32>	a delta sequence number [field]
SEQUENCE	FIELD	delta.vl	142	struct DeltaLog		version	Shared<i32>	a delta sequence number [field]
SEQUENCE	FIELD	delta.vl	145	struct DeltaLog		base	Shared<i32>	a delta sequence number [field]
INDEX	FIELD	delta.vl	151	struct DeltaLog		limit	i32	a bound on the log's LENGTH [field]
INDEX	SIG	delta.vl	168	impl DeltaLog<type O>	with_limit	limit	i32	a log LENGTH bound [override]
INDEX	SIG	delta.vl	289	impl DeltaLog<type O>	held	<ret>	i32	how many ops are held — a count [override]
SEQUENCE	SIG	delta.vl	294	impl DeltaLog<type O>	at	<ret>	i32	a delta SEQUENCE NUMBER — monotonic, not a position [override]
SEQUENCE	SIG	delta.vl	299	impl DeltaLog<type O>	oldest	<ret>	i32	a delta sequence number [override]
NOT	SIG	fetch.vl	38	impl Response	status	<ret>	i32	an HTTP status [override]
INDEX	SIG	iterator.vl	35	trait Iterator	take	count	i32	an element count [override]
INDEX	SIG	iterator.vl	41	trait Iterator	skip	count	i32	an element count [override]
INDEX	SIG	iterator.vl	98	trait Iterator	count	<ret>	i32	an element count [override]
INDEX	FIELD	iterator.vl	163	struct ListIterator		index	i32	a list position [field]
INDEX	FIELD	iterator.vl	259	struct Taken		remaining	i32	an element count [field]
INDEX	FIELD	iterator.vl	274	struct Skipped		pending	i32	an element count [field]
INDEX	FIELD	iterator.vl	294	struct Enumerated		index	i32	the enumerate counter [field]
NOT	SIG	iterator.vl	298	impl Enumerated<type I: Iterator<T>, type T> with Iterator<(i32, T)>	next	<ret>	Option<(i32, T)>	`next` answers a value
NOT	SIG	json.vl	170		coerce_i32	<ret>	i32	`coerce_i32` answers a value
NOT	SIG	json.vl	172		coerce_u32	<ret>	u32	`coerce_u32` answers a value
NOT	SIG	json.vl	174		coerce_i53	<ret>	i53	`coerce_i53` answers a value
NOT	SIG	json.vl	176		coerce_u53	<ret>	u53	`coerce_u53` answers a value
NOT	SIG	json.vl	199	impl i32 with FromJson	from_json	<ret>	Result<i32, str>	`from_json` answers a value
NOT	SIG	json.vl	205	impl i32 with FromJson	from_json_value	<ret>	Result<i32, str>	`from_json_value` answers a value
NOT	SIG	json.vl	215	impl u32 with FromJson	from_json	<ret>	Result<u32, str>	`from_json` answers a value
NOT	SIG	json.vl	221	impl u32 with FromJson	from_json_value	<ret>	Result<u32, str>	`from_json_value` answers a value
WIRE	FIELD	json.vl	325	struct JsonWriter		variant_arities	List<i32>	the protocol's arities [field]
WIRE	SIG	json.vl	375	impl JsonWriter with Serialize	begin_struct	fields	i32	the Serialize/Deserialize protocol seam (§6)
WIRE	SIG	json.vl	391	impl JsonWriter with Serialize	begin_list	length	i32	the Serialize/Deserialize protocol seam (§6)
WIRE	SIG	json.vl	399	impl JsonWriter with Serialize	begin_variant	arity	i32	the Serialize/Deserialize protocol seam (§6)
WIRE	SIG	json.vl	440	impl JsonWriter with Serialize	i32_value	value	i32	the Serialize/Deserialize protocol seam (§6)
WIRE	SIG	json.vl	444	impl JsonWriter with Serialize	u32_value	value	u32	the Serialize/Deserialize protocol seam (§6)
WIRE	SIG	json.vl	450	impl JsonWriter with Serialize	i53_value	value	i53	the Serialize/Deserialize protocol seam (§6)
INDEX	FIELD	json.vl	479	struct JsonReader		list_marks	List<i32>	per-depth element counts [field]
WIRE	SIG	json.vl	628	impl JsonReader with Deserialize	begin_list	<ret>	i32	the Serialize/Deserialize protocol seam (§6)
WIRE	SIG	json.vl	675	impl JsonReader with Deserialize	begin_variant	arity	i32	the Serialize/Deserialize protocol seam (§6)
WIRE	SIG	json.vl	719	impl JsonReader with Deserialize	i32_value	<ret>	i32	the Serialize/Deserialize protocol seam (§6)
WIRE	SIG	json.vl	728	impl JsonReader with Deserialize	u32_value	<ret>	u32	the Serialize/Deserialize protocol seam (§6)
WIRE	SIG	json.vl	737	impl JsonReader with Deserialize	i53_value	<ret>	i53	the Serialize/Deserialize protocol seam (§6)
NOT	SIG	json.vl	1384	impl i53 with FromJson	from_json	<ret>	Result<i53, str>	`from_json` answers a value
NOT	SIG	json.vl	1390	impl i53 with FromJson	from_json_value	<ret>	Result<i53, str>	`from_json_value` answers a value
NOT	SIG	json.vl	1405	impl u53 with FromJson	from_json	<ret>	Result<u53, str>	`from_json` answers a value
NOT	SIG	json.vl	1411	impl u53 with FromJson	from_json_value	<ret>	Result<u53, str>	`from_json_value` answers a value
INDEX	SIG	list.vl	25	impl List<type T>	len	<ret>	i32	`len` answers a position or a count
INDEX	SIG	list.vl	99	impl List<type T>	insert	index	i32	`index` is a position or a length
INDEX	SIG	list.vl	109	impl List<type T>	remove	index	i32	`index` is a position or a length
INDEX	SIG	map.vl	46	impl Map<type K: Hashable, type V>	len	<ret>	i32	`len` answers a position or a count
NOT	FIELD	markdown.vl	80	struct ParseError		line	i32	a line number [field]
INDEX	SIG	markdown.vl	95		index_of	from	i32	a string position [override]
INDEX	SIG	markdown.vl	95		index_of	<ret>	Option<i32>	a string position [override]
INDEX	SIG	markdown.vl	109		leading_spaces	<ret>	i32	a column width [override]
INDEX	SIG	markdown.vl	120		dedent	columns	i32	a column width [override]
NOT	SIG	markdown.vl	132		is_ascii_digit	c	u32	a character code
NOT	SIG	markdown.vl	137		is_ascii_punctuation	c	u32	a character code
