program	before-lines	before-len-as-i32	before-as-i64	after-lines	after-len-as-i32	after-as-i64
bool	27	0	0	27	0	0
recursion	39	0	0	39	0	0
loops	42	0	0	42	0	0
copy-elision	31	0	0	31	0	0
field-assignment	45	0	0	45	0	0
for-in	37	0	0	37	0	0
list-splice	30	4	6	30	0	0
display	55	0	0	55	0	0
match-ergonomics	46	0	0	46	0	0
borrows	37	0	0	37	0	0
generic-inference	44	0	0	44	0	0
default-generic-param	37	0	0	37	0	0
default	40	0	0	40	0	0
mut-parameters	61	2	0	85	0	0
compound-index	51	0	0	51	0	0
interpolated-multiline-string	47	0	0	47	0	0
derive-json	146	0	0	146	0	0
json-roundtrip	228	0	0	228	0	0
remainder	46	0	0	46	0	0
numeric-types	199	0	1	199	0	1
option-view	123	1	0	137	0	0
dyn-objects	654	3	2	662	0	0
usize	245	1	0	254	0	0
usize-literals	122	2	1	135	0	0
unsigned-saturate		0	0	138	0	0
bytes-aliasing	119	0	3	157	0	3
delta-law	844	16	13	875	0	1
reactive-on-change	569	3	2	577	0	0
reactive-flatten	521	3	2	529	0	0
